venue_name,venue_id,hrs,trips,lob,attendance,temp,time,date,
Citi Field,3289,4,0,17,39095,82,187,May 30, 2015,
O.co Coliseum,10,1,0,14,25223,55,186,May 30, 2015,
Petco Park,2680,0,0,13,43207,65,170,May 30, 2015,
Oriole Park at Camden Yards,2,2,0,8,38177,84,129,May 30, 2015,
Target Field,3312,2,1,15,32076,59,161,May 30, 2015,
Great American Ball Park,2602,2,0,13,36294,84,188,May 30, 2015,
Miller Park,32,3,2,32,32460,68,349,May 31, 2015,
AT&T Park,2395,5,1,12,41553,64,182,May 31, 2015,
Globe Life Park in Arlington,13,0,0,20,32848,77,196,May 31, 2015,
Minute Maid Park,2392,1,1,12,27423,73,157,May 31, 2015,
Safeco Field,680,1,0,25,32112,63,276,May 31, 2015,
Citizens Bank Park,2681,2,0,12,22166,86,176,May 31, 2015,
Angel Stadium of Anaheim,1,0,0,17,37143,72,199,May 31, 2015,
Wrigley Field,17,0,1,16,37766,47,219,May 31, 2015,
Busch Stadium,2889,2,0,11,45285,59,153,May 31, 2015,
